type,id,name,state
Town,Tn024,Parit Buntar,Perak
Town,Tn025,Selama,Perak
Town,Tn026,Bagan Serai,Perak
Town,Tn027,Gerik,Perak
Town,Tn028,Lenggong,Perak
Town,Tn029,Taiping,Perak
Town,Tn030,Rantau Panjang,Kelantan
Town,Tn031,Tumpat,Kelantan
Town,Tn032,Pasir Mas,Kelantan
Town,Tn033,Kota Bharu,Kelantan
Town,Tn034,Jeli,Kelantan
Town,Tn035,Kuala Kangsar,Perak
Town,Tn036,Sungai Siput,Perak
Town,Tn037,Bachok,Kelantan
Town,Tn038,Tanah Merah,Kelantan
Town,Tn039,Machang,Kelantan
Town,Tn040,Sitiawan,Perak
Town,Tn041,Ipoh,Perak
Town,Tn042,Pasir Puteh,Kelantan
Town,Tn043,Batu Gajah,Perak
Town,Tn044,Seri Iskandar,Perak
Town,Tn045,Kuala Krai,Kelantan
Town,Tn046,Gopeng,Perak
Town,Tn047,Besut,Terengganu
Town,Tn048,Jerteh,Terengganu
Town,Tn049,Bagan Datuk,Perak
Town,Tn050,Kampar,Perak
Town,Tn051,Teluk Intan,Perak
Town,Tn052,Tapah,Perak
Town,Tn053,Gua Musang,Kelantan
Town,Tn054,Sabak Bernam,Selangor
Town,Tn055,Bandar Permaisuri,Terengganu
Town,Tn056,Setiu,Terengganu
Town,Tn057,Slim River,Perak
Town,Tn058,Kuala Nerus,Terengganu
Town,Tn059,Kuala Terengganu,Terengganu
Town,Tn060,Kuala Lipis,Pahang
Town,Tn061,Kuala Selangor,Selangor
Town,Tn062,Raub,Pahang
Town,Tn063,Kuala Kubu Bharu,Selangor
Town,Tn064,Rawang,Selangor
Town,Tn065,Selayang,Selangor
Town,Tn066,Pelabuhan Klang,Selangor
Town,Tn067,Kepong,WP Kuala Lumpur
Town,Tn068,Jerantut,Pahang
Town,Tn069,Batu Caves,Selangor
Town,Tn070,Shah Alam,Selangor
Town,Tn071,Sentul,WP Kuala Lumpur
Town,Tn072,Bentong,Pahang
Town,Tn073,Jalan Duta,Selangor
Town,Tn074,Damansara,Selangor
Town,Tn075,Setapak,Selangor
Town,Tn076,Petaling Jaya,WP Kuala Lumpur
Town,Tn077,Subang Jaya,WP Kuala Lumpur
Town,Tn078,Bangsar,Selangor
Town,Tn079,Kuala Lumpur,WP Kuala Lumpur
Town,Tn080,Bukit Bintang,
Town,Tn081,Ampang,
Town,Tn082,Dungun,
Town,Tn083,Sungai Besi,
Town,Tn084,Banting,
Town,Tn085,Seri Kembangan,
Town,Tn086,Cheras,
Town,Tn087,Cyberjaya,
Town,Tn088,Putrajaya,
Town,Tn089,Paka,
Town,Tn090,Kajang,
Town,Tn091,Mentakab,
Town,Tn092,Bangi,
Town,Tn093,Semenyih,
Town,Tn094,Kertih,
Town,Tn095,Temerloh,
Town,Tn096,Nilai,
Town,Tn097,Sepang,
Town,Tn098,Kemaman,
Town,Tn099,Kuala Klawang,
Town,Tn100,Jelebu,
Town,Tn101,Triang,
Town,Tn102,Bera,
Town,Tn103,Maran,
Town,Tn104,Seremban,
Town,Tn105,Port Dickson,
Town,Tn106,Kuala Pilah,
Town,Tn107,Rembau,
Town,Tn108,Kuantan,
Town,Tn109,Jempol,
Town,Tn110,Tampin,
Town,Tn111,Masjid Tanah,
Town,Tn112,Alor Gajah,
Town,Tn113,Tangga Batu,
Town,Tn114,Pekan,
Town,Tn115,Durian Tunggal,
Town,Tn116,Muadzam Shah,
Town,Tn117,Gemas,
Town,Tn118,Ayer Keroh,
Town,Tn119,Bandaraya Melaka,Melaka
Town,Tn120,Jasin,
Town,Tn121,Tangkak,
Town,Tn122,Merlimau,
Town,Tn123,Segamat,
Town,Tn124,Muar,
Town,Tn125,Pagoh,
Town,Tn126,Labis,
Town,Tn127,Kuala Rompin,
Town,Tn128,Yong Peng,
Town,Tn129,Batu Pahat,
Town,Tn130,Ayer Hitam,
Town,Tn131,Kluang,
Town,Tn132,Mersing,
Town,Tn133,Simpang Renggam,
Town,Tn134,Pontian,
Town,Tn135,Kulai,
Town,Tn136,Senai,
Town,Tn137,Kota Tinggi,
Town,Tn138,Iskandar Puteri,
Town,Tn139,Johor Bahru,Johor
Town,Tn140,Pasir Gudang,
Town,Tn141,Lojing,
Division,Dv501,Kuching,Sarawak
Division,Dv502,Serian,Sarawak
Division,Dv503,Samarahan,Sarawak
Division,Dv504,Sri Aman,Sarawak
Division,Dv505,Betong,Sarawak
Division,Dv506,Sarikei,Sarawak
Division,Dv507,Sibu,Sarawak
Division,Dv508,Mukah,Sarawak
Division,Dv509,Kapit,Sarawak
Division,Dv510,Bintulu,Sarawak
Division,Dv511,Miri,Sarawak
Division,Dv512,Limbang,Sarawak
Division,Dv513,FP Labuan,WP Labuan
Division,Dv514,Pedalaman,Sabah
Division,Dv515,Pantai Barat,Sabah
Division,Dv516,Tawau,Sabah
Division,Dv517,Sandakan,Sabah
Division,Dv518,Kudat,Sabah
Recreational,Rc001,Langkawi,Kedah
Recreational,Rc002,Taman Negara Pulau Pinang,Pulau Pinang
Recreational,Rc003,Batu Feringgi,Pulau Pinang
Recreational,Rc004,Bukit Bendera,Pulau Pinang
Recreational,Rc005,Pulau Pangkor,Perak
Recreational,Rc006,Lumut,Perak
Recreational,Rc007,Pulau Perhentian,Terengganu
Recreational,Rc008,Cameron Highland,Pahang
Recreational,Rc009,Pulau Redang,Terengganu
Recreational,Rc010,Taman Negara Kelantan,Kelantan
Recreational,Rc011,Tasik Kenyir,Terengganu
Recreational,Rc012,Taman Negara Terengganu,Terengganu
Recreational,Rc013,Taman Negara,Pahang
Recreational,Rc014,Bukit Fraser,Pahang
Recreational,Rc015,Pulau Kapas,Terengganu
Recreational,Rc016,Tanah Tinggi Genting,Pahang
Recreational,Rc017,Bukit Tinggi,Pahang
Recreational,Rc018,Pusat Konservasi Gajah Kebangsaan,Pahang
Recreational,Rc019,Tasik Bera,Pahang
Recreational,Rc020,Tanjung Jara,Terengganu
Recreational,Rc021,Paya Indah Wetlands,Selangor
Recreational,Rc022,Kijal,Terengganu
Recreational,Rc023,Cherating,Pahang
Recreational,Rc024,Pulau Tioman,Pahang
Recreational,Rc025,Pulau Sibu,Johor
Recreational,Rc026,Desaru,Johor
Recreational,Rc501,Taman Nasional Kinabalu,Sabah
Recreational,Rc502,Pulau Sipadan,Sabah
